State,Years,Percentage,Race
Oklahoma,2017,13.80%,Some other race Alone
Oklahoma,2016,12.40%,Some other race Alone
Oklahoma,2015,10.90%,Some other race Alone
Oregon,2022,8.20%,Some other race Alone
Oregon,2021,10.50%,Some other race Alone
Oregon,2020,7.00%,Some other race Alone
Oregon,2019,7.30%,Some other race Alone
Oregon,2018,6.50%,Some other race Alone
Oregon,2017,6.50%,Some other race Alone
Oregon,2016,5.50%,Some other race Alone
Oregon,2015,7.90%,Some other race Alone
Pennsylvania,2022,11.00%,Some other race Alone
Pennsylvania,2021,13.60%,Some other race Alone
Pennsylvania,2020,12.30%,Some other race Alone
Pennsylvania,2019,9.90%,Some other race Alone
Pennsylvania,2018,7.90%,Some other race Alone
Pennsylvania,2017,12.50%,Some other race Alone
Pennsylvania,2016,9.00%,Some other race Alone
Pennsylvania,2015,9.30%,Some other race Alone
Rhode Island,2022,16.20%,Some other race Alone
Rhode Island,2021,14.70%,Some other race Alone
Rhode Island,2020,13.60%,Some other race Alone
Rhode Island,2019,9.80%,Some other race Alone
Rhode Island,2018,11.60%,Some other race Alone
Rhode Island,2017,9.00%,Some other race Alone
Rhode Island,2016,8.90%,Some other race Alone
Rhode Island,2015,8.90%,Some other race Alone
South Carolina,2022,13.10%,Some other race Alone
South Carolina,2021,14.30%,Some other race Alone
South Carolina,2020,10.90%,Some other race Alone
South Carolina,2019,9.10%,Some other race Alone
South Carolina,2018,13.60%,Some other race Alone
South Carolina,2017,9.30%,Some other race Alone
South Carolina,2016,12.20%,Some other race Alone
South Carolina,2015,6.40%,Some other race Alone
South Dakota,2022,16.40%,Some other race Alone
South Dakota,2021,17.10%,Some other race Alone
South Dakota,2020,12.40%,Some other race Alone
South Dakota,2019,12.00%,Some other race Alone
South Dakota,2018,14.40%,Some other race Alone
South Dakota,2017,8.10%,Some other race Alone
South Dakota,2016,8.20%,Some other race Alone
South Dakota,2015,8.50%,Some other race Alone
Tennessee,2022,17.60%,Some other race Alone
Tennessee,2021,12.50%,Some other race Alone
Tennessee,2020,17.40%,Some other race Alone
Tennessee,2019,27.00%,Some other race Alone
Tennessee,2018,22.50%,Some other race Alone
Tennessee,2017,10.50%,Some other race Alone
Tennessee,2016,7.80%,Some other race Alone
Tennessee,2015,15.30%,Some other race Alone
Texas,2022,19.80%,Some other race Alone
Texas,2021,15.00%,Some other race Alone
Texas,2020,12.40%,Some other race Alone
Texas,2019,14.70%,Some other race Alone
Texas,2018,13.10%,Some other race Alone
Texas,2017,10.30%,Some other race Alone
Texas,2016,12.60%,Some other race Alone
Texas,2015,14.50%,Some other race Alone
Utah,2022,12.50%,Some other race Alone
Utah,2021,12.00%,Some other race Alone
Utah,2020,11.20%,Some other race Alone
Utah,2019,11.20%,Some other race Alone
Utah,2018,10.10%,Some other race Alone
Utah,2017,10.30%,Some other race Alone
Utah,2016,10.30%,Some other race Alone
Utah,2015,8.50%,Some other race Alone
Vermont,2022,13.40%,Some other race Alone
Vermont,2021,13.50%,Some other race Alone
Vermont,2020,11.30%,Some other race Alone
Vermont,2019,12.00%,Some other race Alone
Vermont,2018,11.00%,Some other race Alone
Vermont,2017,8.60%,Some other race Alone
Vermont,2016,7.40%,Some other race Alone
Vermont,2015,8.90%,Some other race Alone
Virginia,2022,41.60%,Some other race Alone
Virginia,2021,23.50%,Some other race Alone
Virginia,2020,34.10%,Some other race Alone
Virginia,2019,N,Some other race Alone
Virginia,2018,29.10%,Some other race Alone
Virginia,2017,N,Some other race Alone
Virginia,2016,N,Some other race Alone
Virginia,2015,N,Some other race Alone
Washington,2022,21.30%,Some other race Alone
Washington,2021,22.90%,Some other race Alone
Washington,2020,16.80%,Some other race Alone
Washington,2019,18.90%,Some other race Alone
Washington,2018,13.20%,Some other race Alone
Washington,2017,13.90%,Some other race Alone
Washington,2016,14.50%,Some other race Alone
Washington,2015,13.00%,Some other race Alone
West Virginia,2022,15.50%,Some other race Alone
West Virginia,2021,14.80%,Some other race Alone
West Virginia,2020,11.00%,Some other race Alone
West Virginia,2019,8.40%,Some other race Alone
West Virginia,2018,9.30%,Some other race Alone
West Virginia,2017,9.50%,Some other race Alone
West Virginia,2016,9.10%,Some other race Alone
West Virginia,2015,8.20%,Some other race Alone
Wisconsin,2022,11.90%,Some other race Alone
Wisconsin,2021,10.10%,Some other race Alone
Wisconsin,2020,20.70%,Some other race Alone
Wisconsin,2019,19.30%,Some other race Alone
Wisconsin,2018,11.80%,Some other race Alone
Wisconsin,2017,35.80%,Some other race Alone
Wisconsin,2016,27.20%,Some other race Alone
Wisconsin,2015,34.60%,Some other race Alone
Wyoming,2022,16.10%,Some other race Alone
Wyoming,2021,17.00%,Some other race Alone
Wyoming,2020,11.50%,Some other race Alone
Wyoming,2019,13.20%,Some other race Alone
Wyoming,2018,5.60%,Some other race Alone
Wyoming,2017,9.60%,Some other race Alone
Wyoming,2016,7.60%,Some other race Alone
Wyoming,2015,8.40%,Some other race Alone
Puerto Rico,2022,19.30%,Some other race Alone
Puerto Rico,2021,15.70%,Some other race Alone
Puerto Rico,2020,11.90%,Some other race Alone
Puerto Rico,2019,4.10%,Some other race Alone
Puerto Rico,2018,5.70%,Some other race Alone
Puerto Rico,2017,11.20%,Some other race Alone
Puerto Rico,2016,2.20%,Some other race Alone
Puerto Rico,2015,1.30%,Some other race Alone
Alabama,2022,26.00%,Two or more races
Alabama,2021,21.10%,Two or more races
Alabama,2020,25.70%,Two or more races
Alabama,2019,35.60%,Two or more races
Alabama,2018,25.50%,Two or more races
Alabama,2017,28.20%,Two or more races
Alabama,2016,27.40%,Two or more races
Alabama,2015,21.10%,Two or more races
Alaska,2022,20.60%,Two or more races
Alaska,2021,26.30%,Two or more races
Alaska,2020,21.20%,Two or more races
Alaska,2019,17.30%,Two or more races
Alaska,2018,20.30%,Two or more races
Alaska,2017,17.80%,Two or more races
Alaska,2016,18.10%,Two or more races
Alaska,2015,19.10%,Two or more races
Arizona,2022,20.50%,Two or more races
Arizona,2021,19.70%,Two or more races
Arizona,2020,23.20%,Two or more races
Arizona,2019,26.70%,Two or more races
Arizona,2018,27.20%,Two or more races
Arizona,2017,27.00%,Two or more races
Arizona,2016,25.50%,Two or more races
Arizona,2015,24.70%,Two or more races
Arkansas,2022,18.70%,Two or more races
Arkansas,2021,16.10%,Two or more races
Arkansas,2020,20.40%,Two or more races
Arkansas,2019,25.70%,Two or more races
Arkansas,2018,18.60%,Two or more races
Arkansas,2017,16.30%,Two or more races
Arkansas,2016,16.70%,Two or more races
Arkansas,2015,27.00%,Two or more races
California,2022,23.50%,Two or more races
California,2021,22.90%,Two or more races
California,2020,27.50%,Two or more races
California,2019,34.90%,Two or more races
California,2018,32.90%,Two or more races
California,2017,32.60%,Two or more races
California,2016,32.70%,Two or more races
California,2015,31.60%,Two or more races
Colorado,2022,28.40%,Two or more races
Colorado,2021,29.00%,Two or more races
Colorado,2020,31.30%,Two or more races
Colorado,2019,37.00%,Two or more races
Colorado,2018,33.70%,Two or more races
Colorado,2017,35.30%,Two or more races
Colorado,2016,35.10%,Two or more races
Colorado,2015,33.90%,Two or more races
Connecticut,2022,27.80%,Two or more races
Connecticut,2021,27.50%,Two or more races
Connecticut,2020,29.20%,Two or more races
Connecticut,2019,30.40%,Two or more races
Connecticut,2018,29.20%,Two or more races
Connecticut,2017,24.70%,Two or more races
Connecticut,2016,30.10%,Two or more races
Connecticut,2015,24.70%,Two or more races
Delaware,2022,23.90%,Two or more races
Delaware,2021,27.00%,Two or more races
Delaware,2020,34.50%,Two or more races
Delaware,2019,32.60%,Two or more races
Delaware,2018,26.60%,Two or more races
Delaware,2017,20.20%,Two or more races
Delaware,2016,30.00%,Two or more races
Delaware,2015,41.50%,Two or more races
Florida,2022,75.10%,Two or more races
Florida,2021,66.20%,Two or more races
Florida,2020,60.90%,Two or more races
Florida,2019,64.00%,Two or more races
Florida,2018,62.40%,Two or more races
Florida,2017,57.30%,Two or more races
Florida,2016,68.70%,Two or more races
Florida,2015,66.40%,Two or more races
Georgia,2022,30.40%,Two or more races
Georgia,2021,28.80%,Two or more races
Georgia,2020,28.50%,Two or more races
Georgia,2019,28.30%,Two or more races
Georgia,2018,29.60%,Two or more races
Georgia,2017,30.00%,Two or more races
Georgia,2016,27.80%,Two or more races
Georgia,2015,30.80%,Two or more races
Hawaii,2022,29.80%,Two or more races
Hawaii,2021,29.20%,Two or more races
Hawaii,2020,30.10%,Two or more races
Hawaii,2019,31.60%,Two or more races
Hawaii,2018,36.30%,Two or more races
Hawaii,2017,32.40%,Two or more races
Hawaii,2016,28.60%,Two or more races
Hawaii,2015,32.20%,Two or more races
Idaho,2022,26.70%,Two or more races
Idaho,2021,25.40%,Two or more races
Idaho,2020,21.90%,Two or more races
Idaho,2019,22.70%,Two or more races
Idaho,2018,21.50%,Two or more races
Idaho,2017,21.00%,Two or more races
Idaho,2016,19.60%,Two or more races
Idaho,2015,19.50%,Two or more races
Illinois,2022,21.90%,Two or more races
Illinois,2021,18.90%,Two or more races
Illinois,2020,24.60%,Two or more races
Illinois,2019,40.00%,Two or more races
Illinois,2018,22.50%,Two or more races
Illinois,2017,22.90%,Two or more races
Illinois,2016,29.10%,Two or more races
Illinois,2015,21.30%,Two or more races
Indiana,2022,26.50%,Two or more races
Indiana,2021,24.60%,Two or more races
Indiana,2020,28.40%,Two or more races
Indiana,2019,35.70%,Two or more races
Indiana,2018,37.30%,Two or more races
Indiana,2017,34.10%,Two or more races
Indiana,2016,35.20%,Two or more races
Indiana,2015,36.70%,Two or more races
Iowa,2022,25.90%,Two or more races
Iowa,2021,24.20%,Two or more races
Iowa,2020,22.60%,Two or more races
Iowa,2019,24.40%,Two or more races
Iowa,2018,28.80%,Two or more races
Iowa,2017,24.20%,Two or more races
Iowa,2016,20.50%,Two or more races
Iowa,2015,23.40%,Two or more races
Kansas,2022,23.00%,Two or more races
Kansas,2021,22.40%,Two or more races
Kansas,2020,24.30%,Two or more races
Kansas,2019,28.10%,Two or more races
Kansas,2018,32.60%,Two or more races
Kansas,2017,20.80%,Two or more races
Kansas,2016,33.20%,Two or more races
Kansas,2015,20.30%,Two or more races
Kentucky,2022,20.20%,Two or more races
Kentucky,2021,25.30%,Two or more races
Kentucky,2020,27.30%,Two or more races
Kentucky,2019,27.00%,Two or more races
Kentucky,2018,27.40%,Two or more races
Kentucky,2017,26.70%,Two or more races
Kentucky,2016,23.70%,Two or more races
Kentucky,2015,23.20%,Two or more races
Louisiana,2022,23.00%,Two or more races
Louisiana,2021,21.40%,Two or more races
Louisiana,2020,26.10%,Two or more races
Louisiana,2019,23.90%,Two or more races
Louisiana,2018,26.20%,Two or more races
Louisiana,2017,25.30%,Two or more races
Louisiana,2016,26.30%,Two or more races
Louisiana,2015,23.70%,Two or more races
Maine,2022,22.10%,Two or more races
Maine,2021,23.20%,Two or more races
Maine,2020,27.60%,Two or more races
Maine,2019,25.70%,Two or more races
Maine,2018,24.70%,Two or more races
Maine,2017,24.20%,Two or more races
Maine,2016,24.70%,Two or more races
Maine,2015,19.80%,Two or more races
Maryland,2022,26.50%,Two or more races
Maryland,2021,27.50%,Two or more races
Maryland,2020,25.90%,Two or more races
Maryland,2019,20.60%,Two or more races
Maryland,2018,24.90%,Two or more races
Maryland,2017,24.30%,Two or more races
Maryland,2016,17.90%,Two or more races
Maryland,2015,20.30%,Two or more races
Massachusetts,2022,42.50%,Two or more races
Massachusetts,2021,41.20%,Two or more races
Massachusetts,2020,41.20%,Two or more races
Massachusetts,2019,40.30%,Two or more races
Massachusetts,2018,41.60%,Two or more races
Massachusetts,2017,42.60%,Two or more races
Massachusetts,2016,39.10%,Two or more races
Massachusetts,2015,40.40%,Two or more races
Michigan,2022,30.40%,Two or more races
Michigan,2021,29.70%,Two or more races
Michigan,2020,33.60%,Two or more races
Michigan,2019,37.30%,Two or more races
Michigan,2018,36.10%,Two or more races
Michigan,2017,36.20%,Two or more races
Michigan,2016,27.50%,Two or more races
Michigan,2015,30.90%,Two or more races
Minnesota,2022,25.50%,Two or more races
Minnesota,2021,26.10%,Two or more races
Minnesota,2020,26.90%,Two or more races
Minnesota,2019,27.20%,Two or more races
Minnesota,2018,26.60%,Two or more races
Minnesota,2017,28.20%,Two or more races
Minnesota,2016,24.90%,Two or more races
Minnesota,2015,19.40%,Two or more races
Mississippi,2022,32.30%,Two or more races
Mississippi,2021,27.70%,Two or more races
Mississippi,2020,30.60%,Two or more races
Mississippi,2019,33.40%,Two or more races
Mississippi,2018,34.10%,Two or more races
Mississippi,2017,30.10%,Two or more races
Mississippi,2016,30.70%,Two or more races
Mississippi,2015,27.50%,Two or more races
Missouri,2022,21.00%,Two or more races
Missouri,2021,18.10%,Two or more races
Missouri,2020,22.80%,Two or more races
Missouri,2019,20.40%,Two or more races
Missouri,2018,28.20%,Two or more races
Missouri,2017,31.30%,Two or more races
Missouri,2016,18.60%,Two or more races
Missouri,2015,21.00%,Two or more races
Montana,2022,25.40%,Two or more races
Montana,2021,23.00%,Two or more races
Montana,2020,28.20%,Two or more races
Montana,2019,27.80%,Two or more races
Montana,2018,25.30%,Two or more races
Montana,2017,28.10%,Two or more races
Montana,2016,24.50%,Two or more races
Montana,2015,26.40%,Two or more races
Nebraska,2022,28.50%,Two or more races
Nebraska,2021,32.30%,Two or more races
Nebraska,2020,26.30%,Two or more races
Nebraska,2019,40.50%,Two or more races
Nebraska,2018,18.90%,Two or more races
Nebraska,2017,23.50%,Two or more races
Nebraska,2016,22.20%,Two or more races
Nebraska,2015,20.00%,Two or more races
Nevada,2022,24.50%,Two or more races
Nevada,2021,25.20%,Two or more races
Nevada,2020,24.60%,Two or more races
Nevada,2019,29.00%,Two or more races
Nevada,2018,26.50%,Two or more races
Nevada,2017,25.00%,Two or more races
Nevada,2016,27.90%,Two or more races
Nevada,2015,21.40%,Two or more races
New Hampshire,2022,17.80%,Two or more races
New Hampshire,2021,18.50%,Two or more races
New Hampshire,2020,19.10%,Two or more races
New Hampshire,2019,22.50%,Two or more races
New Hampshire,2018,24.70%,Two or more races
New Hampshire,2017,20.20%,Two or more races
New Hampshire,2016,19.70%,Two or more races
New Hampshire,2015,20.00%,Two or more races
New Jersey,2022,33.60%,Two or more races
New Jersey,2021,35.60%,Two or more races
New Jersey,2020,30.20%,Two or more races
New Jersey,2019,33.80%,Two or more races
New Jersey,2018,31.10%,Two or more races
New Jersey,2017,32.00%,Two or more races
New Jersey,2016,34.00%,Two or more races
New Jersey,2015,25.00%,Two or more races
New Mexico,2022,29.50%,Two or more races
New Mexico,2021,29.20%,Two or more races
New Mexico,2020,31.10%,Two or more races
New Mexico,2019,37.60%,Two or more races
New Mexico,2018,38.10%,Two or more races
New Mexico,2017,36.70%,Two or more races
New Mexico,2016,34.00%,Two or more races
New Mexico,2015,32.70%,Two or more races
New York,2022,20.30%,Two or more races
New York,2021,20.50%,Two or more races
New York,2020,23.10%,Two or more races
New York,2019,22.20%,Two or more races
New York,2018,26.60%,Two or more races
New York,2017,28.90%,Two or more races
New York,2016,30.40%,Two or more races
New York,2015,26.70%,Two or more races
North Carolina,2022,32.20%,Two or more races
North Carolina,2021,29.80%,Two or more races
North Carolina,2020,31.40%,Two or more races
North Carolina,2019,33.30%,Two or more races
North Carolina,2018,33.50%,Two or more races
North Carolina,2017,31.00%,Two or more races
North Carolina,2016,31.20%,Two or more races
North Carolina,2015,28.90%,Two or more races
North Dakota,2022,27.70%,Two or more races
North Dakota,2021,25.70%,Two or more races
North Dakota,2020,27.50%,Two or more races
North Dakota,2019,29.30%,Two or more races
North Dakota,2018,29.60%,Two or more races
North Dakota,2017,28.80%,Two or more races
North Dakota,2016,28.20%,Two or more races
North Dakota,2015,28.30%,Two or more races
Ohio,2022,27.70%,Two or more races
Ohio,2021,19.40%,Two or more races
Ohio,2020,19.60%,Two or more races
Ohio,2019,16.40%,Two or more races
Ohio,2018,33.50%,Two or more races
Ohio,2017,21.70%,Two or more races
Ohio,2016,20.50%,Two or more races
Ohio,2015,15.10%,Two or more races
Oklahoma,2022,26.30%,Two or more races
Oklahoma,2021,25.80%,Two or more races
Oklahoma,2020,25.20%,Two or more races
Oklahoma,2019,23.80%,Two or more races
Oklahoma,2018,24.30%,Two or more races
Oklahoma,2017,23.70%,Two or more races
Oklahoma,2016,23.10%,Two or more races
Oklahoma,2015,22.60%,Two or more races
Oregon,2022,20.70%,Two or more races
Oregon,2021,22.20%,Two or more races
Oregon,2020,20.90%,Two or more races
Oregon,2019,19.70%,Two or more races
Oregon,2018,22.70%,Two or more races
Oregon,2017,21.10%,Two or more races
Oregon,2016,19.80%,Two or more races
Oregon,2015,20.10%,Two or more races
Pennsylvania,2022,27.20%,Two or more races
Pennsylvania,2021,27.30%,Two or more races
Pennsylvania,2020,25.30%,Two or more races
Pennsylvania,2019,29.00%,Two or more races
Pennsylvania,2018,24.70%,Two or more races
Pennsylvania,2017,23.10%,Two or more races
Pennsylvania,2016,21.60%,Two or more races
Pennsylvania,2015,25.90%,Two or more races
Rhode Island,2022,28.30%,Two or more races
Rhode Island,2021,27.20%,Two or more races
Rhode Island,2020,28.90%,Two or more races
Rhode Island,2019,28.70%,Two or more races
Rhode Island,2018,26.60%,Two or more races
Rhode Island,2017,26.40%,Two or more races
Rhode Island,2016,25.80%,Two or more races
Rhode Island,2015,28.10%,Two or more races
South Carolina,2022,29.00%,Two or more races
South Carolina,2021,18.70%,Two or more races
South Carolina,2020,24.80%,Two or more races
South Carolina,2019,31.70%,Two or more races
South Carolina,2018,25.10%,Two or more races
South Carolina,2017,24.40%,Two or more races
South Carolina,2016,32.70%,Two or more races
South Carolina,2015,29.60%,Two or more races
South Dakota,2022,26.70%,Two or more races
South Dakota,2021,25.30%,Two or more races
South Dakota,2020,26.80%,Two or more races
South Dakota,2019,25.10%,Two or more races
South Dakota,2018,25.80%,Two or more races
South Dakota,2017,27.60%,Two or more races
South Dakota,2016,20.40%,Two or more races
South Dakota,2015,25.00%,Two or more races
Tennessee,2022,23.70%,Two or more races
Tennessee,2021,26.60%,Two or more races
Tennessee,2020,22.00%,Two or more races
Tennessee,2019,23.90%,Two or more races
Tennessee,2018,26.70%,Two or more races
Tennessee,2017,18.00%,Two or more races
Tennessee,2016,10.50%,Two or more races
Tennessee,2015,25.80%,Two or more races
Texas,2022,24.00%,Two or more races
Texas,2021,24.30%,Two or more races
Texas,2020,25.70%,Two or more races
Texas,2019,29.30%,Two or more races
Texas,2018,30.40%,Two or more races
Texas,2017,28.10%,Two or more races
Texas,2016,30.70%,Two or more races
Texas,2015,26.30%,Two or more races
Utah,2022,22.00%,Two or more races
Utah,2021,20.60%,Two or more races
Utah,2020,23.20%,Two or more races
Utah,2019,32.20%,Two or more races
Utah,2018,32.70%,Two or more races
Utah,2017,30.30%,Two or more races
Utah,2016,31.10%,Two or more races
Utah,2015,31.10%,Two or more races
Vermont,2022,29.00%,Two or more races
Vermont,2021,29.70%,Two or more races
Vermont,2020,30.40%,Two or more races
Vermont,2019,35.90%,Two or more races
Vermont,2018,29.30%,Two or more races
Vermont,2017,27.20%,Two or more races
Vermont,2016,34.30%,Two or more races
Vermont,2015,27.80%,Two or more races
Virginia,2022,39.60%,Two or more races
Virginia,2021,38.50%,Two or more races
Virginia,2020,32.50%,Two or more races
Virginia,2019,26.30%,Two or more races
Virginia,2018,41.40%,Two or more races
Virginia,2017,33.70%,Two or more races
Virginia,2016,28.60%,Two or more races
Virginia,2015,19.00%,Two or more races
Washington,2022,40.60%,Two or more races
Washington,2021,37.20%,Two or more races
Washington,2020,37.10%,Two or more races
Washington,2019,37.20%,Two or more races
Washington,2018,37.20%,Two or more races
Washington,2017,35.10%,Two or more races
Washington,2016,42.30%,Two or more races
Washington,2015,37.70%,Two or more races
West Virginia,2022,28.60%,Two or more races
West Virginia,2021,30.30%,Two or more races
West Virginia,2020,29.90%,Two or more races
West Virginia,2019,32.10%,Two or more races
West Virginia,2018,33.00%,Two or more races
West Virginia,2017,31.00%,Two or more races
West Virginia,2016,26.30%,Two or more races
West Virginia,2015,26.80%,Two or more races
Wisconsin,2022,24.90%,Two or more races
Wisconsin,2021,17.70%,Two or more races
Wisconsin,2020,19.80%,Two or more races
Wisconsin,2019,26.60%,Two or more races
Wisconsin,2018,27.80%,Two or more races
Wisconsin,2017,30.40%,Two or more races
Wisconsin,2016,21.80%,Two or more races
Wisconsin,2015,19.80%,Two or more races
Wyoming,2022,20.90%,Two or more races
Wyoming,2021,23.10%,Two or more races
Wyoming,2020,26.30%,Two or more races
Wyoming,2019,28.60%,Two or more races
Wyoming,2018,28.60%,Two or more races
Wyoming,2017,26.20%,Two or more races
Wyoming,2016,28.30%,Two or more races
Wyoming,2015,24.30%,Two or more races
Puerto Rico,2022,17.50%,Two or more races
Puerto Rico,2021,21.70%,Two or more races
Puerto Rico,2020,20.30%,Two or more races
Puerto Rico,2019,18.10%,Two or more races
Puerto Rico,2018,9.10%,Two or more races
Puerto Rico,2017,23.50%,Two or more races
Puerto Rico,2016,21.90%,Two or more races
Puerto Rico,2015,15.80%,Two or more races
Alabama,2022,18.30%,"Hispanic or Latino 
                Origin"
Alabama,2021,16.60%,"Hispanic or Latino 
                Origin"
Alabama,2020,15.80%,"Hispanic or Latino 
                Origin"
Alabama,2019,16.80%,"Hispanic or Latino 
                Origin"
Alabama,2018,18.90%,"Hispanic or Latino 
                Origin"
Alabama,2017,12.70%,"Hispanic or Latino 
                Origin"
Alabama,2016,12.10%,"Hispanic or Latino 
                Origin"
Alabama,2015,10.40%,"Hispanic or Latino 
                Origin"
Alaska,2022,24.40%,"Hispanic or Latino 
                Origin"
Alaska,2021,18.70%,"Hispanic or Latino 
                Origin"
Alaska,2020,16.70%,"Hispanic or Latino 
                Origin"
Alaska,2019,14.40%,"Hispanic or Latino 
                Origin"
Alaska,2018,22.50%,"Hispanic or Latino 
                Origin"
Alaska,2017,13.60%,"Hispanic or Latino 
                Origin"
Alaska,2016,7.90%,"Hispanic or Latino 
                Origin"
Alaska,2015,18.00%,"Hispanic or Latino 
                Origin"
Arizona,2022,15.70%,"Hispanic or Latino 
                Origin"
Arizona,2021,15.10%,"Hispanic or Latino 
                Origin"
Arizona,2020,13.30%,"Hispanic or Latino 
                Origin"
Arizona,2019,12.90%,"Hispanic or Latino 
                Origin"
Arizona,2018,12.70%,"Hispanic or Latino 
                Origin"
Arizona,2017,11.70%,"Hispanic or Latino 
                Origin"
Arizona,2016,11.60%,"Hispanic or Latino 
                Origin"
Arizona,2015,10.10%,"Hispanic or Latino 
                Origin"
Arkansas,2022,11.70%,"Hispanic or Latino 
                Origin"
Arkansas,2021,11.10%,"Hispanic or Latino 
                Origin"
Arkansas,2020,10.70%,"Hispanic or Latino 
                Origin"
Arkansas,2019,8.50%,"Hispanic or Latino 
                Origin"
Arkansas,2018,11.70%,"Hispanic or Latino 
                Origin"
Arkansas,2017,10.70%,"Hispanic or Latino 
                Origin"
Arkansas,2016,8.40%,"Hispanic or Latino 
                Origin"
Arkansas,2015,8.30%,"Hispanic or Latino 
                Origin"
California,2022,14.70%,"Hispanic or Latino 
                Origin"
California,2021,14.30%,"Hispanic or Latino 
                Origin"
California,2020,13.00%,"Hispanic or Latino 
                Origin"
California,2019,13.00%,"Hispanic or Latino 
                Origin"
California,2018,12.20%,"Hispanic or Latino 
                Origin"
California,2017,11.70%,"Hispanic or Latino 
                Origin"
California,2016,11.00%,"Hispanic or Latino 
                Origin"
California,2015,10.90%,"Hispanic or Latino 
                Origin"
Colorado,2022,19.40%,"Hispanic or Latino 
                Origin"
Colorado,2021,20.30%,"Hispanic or Latino 
                Origin"
Colorado,2020,16.00%,"Hispanic or Latino 
                Origin"
Colorado,2019,17.00%,"Hispanic or Latino 
                Origin"
Colorado,2018,15.30%,"Hispanic or Latino 
                Origin"
Colorado,2017,14.90%,"Hispanic or Latino 
                Origin"
Colorado,2016,14.00%,"Hispanic or Latino 
                Origin"
Colorado,2015,12.90%,"Hispanic or Latino 
                Origin"
Connecticut,2022,18.40%,"Hispanic or Latino 
                Origin"
Connecticut,2021,17.20%,"Hispanic or Latino 
                Origin"
Connecticut,2020,15.60%,"Hispanic or Latino 
                Origin"
Connecticut,2019,16.50%,"Hispanic or Latino 
                Origin"
Connecticut,2018,16.10%,"Hispanic or Latino 
                Origin"
Connecticut,2017,13.80%,"Hispanic or Latino 
                Origin"
Connecticut,2016,15.80%,"Hispanic or Latino 
                Origin"
Connecticut,2015,13.70%,"Hispanic or Latino 
                Origin"
Delaware,2022,20.50%,"Hispanic or Latino 
                Origin"
Delaware,2021,16.90%,"Hispanic or Latino 
                Origin"
Delaware,2020,15.90%,"Hispanic or Latino 
                Origin"
Delaware,2019,8.90%,"Hispanic or Latino 
                Origin"
Delaware,2018,15.30%,"Hispanic or Latino 
                Origin"
Delaware,2017,8.50%,"Hispanic or Latino 
                Origin"
Delaware,2016,12.60%,"Hispanic or Latino 
                Origin"
Delaware,2015,9.60%,"Hispanic or Latino 
                Origin"
Florida,2022,65.00%,"Hispanic or Latino 
                Origin"
Florida,2021,59.70%,"Hispanic or Latino 
                Origin"
Florida,2020,46.00%,"Hispanic or Latino 
                Origin"
Florida,2019,53.30%,"Hispanic or Latino 
                Origin"
Florida,2018,55.90%,"Hispanic or Latino 
                Origin"
Florida,2017,38.40%,"Hispanic or Latino 
                Origin"
Florida,2016,39.50%,"Hispanic or Latino 
                Origin"
Florida,2015,41.80%,"Hispanic or Latino 
                Origin"
Georgia,2022,26.90%,"Hispanic or Latino 
                Origin"
Georgia,2021,25.80%,"Hispanic or Latino 
                Origin"
Georgia,2020,24.00%,"Hispanic or Latino 
                Origin"
Georgia,2019,23.60%,"Hispanic or Latino 
                Origin"
Georgia,2018,24.00%,"Hispanic or Latino 
                Origin"
Georgia,2017,22.60%,"Hispanic or Latino 
                Origin"
Georgia,2016,21.20%,"Hispanic or Latino 
                Origin"
Georgia,2015,21.50%,"Hispanic or Latino 
                Origin"
Hawaii,2022,20.10%,"Hispanic or Latino 
                Origin"
Hawaii,2021,20.80%,"Hispanic or Latino 
                Origin"
Hawaii,2020,16.60%,"Hispanic or Latino 
                Origin"
Hawaii,2019,16.60%,"Hispanic or Latino 
                Origin"
Hawaii,2018,15.50%,"Hispanic or Latino 
                Origin"
Hawaii,2017,15.40%,"Hispanic or Latino 
                Origin"
Hawaii,2016,14.40%,"Hispanic or Latino 
                Origin"
Hawaii,2015,15.00%,"Hispanic or Latino 
                Origin"
Idaho,2022,23.50%,"Hispanic or Latino 
                Origin"
Idaho,2021,22.50%,"Hispanic or Latino 
                Origin"
Idaho,2020,20.90%,"Hispanic or Latino 
                Origin"
Idaho,2019,21.40%,"Hispanic or Latino 
                Origin"
Idaho,2018,23.80%,"Hispanic or Latino 
                Origin"
Idaho,2017,18.10%,"Hispanic or Latino 
                Origin"
Idaho,2016,13.40%,"Hispanic or Latino 
                Origin"
Idaho,2015,20.20%,"Hispanic or Latino 
                Origin"
Illinois,2022,12.90%,"Hispanic or Latino 
                Origin"
Illinois,2021,10.50%,"Hispanic or Latino 
                Origin"
Illinois,2020,11.20%,"Hispanic or Latino 
                Origin"
Illinois,2019,11.00%,"Hispanic or Latino 
                Origin"
Illinois,2018,9.30%,"Hispanic or Latino 
                Origin"
Illinois,2017,9.20%,"Hispanic or Latino 
                Origin"
Illinois,2016,9.90%,"Hispanic or Latino 
                Origin"
Illinois,2015,7.20%,"Hispanic or Latino 
                Origin"
Indiana,2022,17.50%,"Hispanic or Latino 
                Origin"
Indiana,2021,16.50%,"Hispanic or Latino 
                Origin"
Indiana,2020,14.10%,"Hispanic or Latino 
                Origin"
Indiana,2019,15.10%,"Hispanic or Latino 
                Origin"
Indiana,2018,13.10%,"Hispanic or Latino 
                Origin"
